Timestamp,Today's Date,"By clicking on the ""Yes"" button, I agree to take part in this project. I know what I will have to do and that I can stop at any time.","Computer experience (Internet Search, email, discord, discussion groups, games, word processing, spreadsheets, organizing files & folders, etc.)",Programming Experience (self-initialized learning and/or formal programming course,Programming Experiences compared to your classmates,Rate your programming experiences [C++],Rate your programming experiences [C],Rate your programming experiences [C#],Rate your programming experiences [Java],Rate your programming experiences [Javascript],Rate your programming experiences [PHP],Rate your programming experiences [Python],Rate your programming experiences [Scratch],Rate your programming experiences [Visual Basic],Rate your programming experiences [Other],"Rate your experience with using the following in your program [Data Types (int, floats, double, bool, char)]",Rate your experience with using the following in your program [Arithmetic Expressions & Operations],"Rate your experience with using the following in your program [Branching (if/else, switch, relational & logic operators, relational expressions)]","Rate your experience with using the following in your program [Loops (while, do-while, for)]",Rate your experience with using the following in your program [Function calls],Rate your experience with using the following in your program [Writing functions],Rate your experience with using the following in your program [Reference Variables in Functions],Rate your experience with using the following in your program [Arrays],Rate your experience with using the following in your program [Pointers],Rate your experience with using the following in your program [C++ Structures (struct)],Rate your experience with using the following in your program [Classes & Objects],Where did you get your programming experience? (select all that applies),Rate your experience with the following [Parallel processing (computing where the operations within a program that are being executed simultaneously) ],Rate your experience with the following [Distributed computing (computing with a program that runs on multiple computers or that runs using data from a different computer) ],Rate your experience with the following [Event handling (having a function that responds to an independent action) ],To what extent do you agree or disagree with the following statements?  [interest in computing is high],To what extent do you agree or disagree with the following statements?  [interest in PDC is high],To what extent do you agree or disagree with the following statements?  [learning about PDC is important],To what extent do you agree or disagree with the following statements?  [I have a good understanding of computing],To what extent do you agree or disagree with the following statements?  [I have a good understanding of PDC],Rate each of the following based on how well they helped you learn in COSC 1560. [Textbook],Rate each of the following based on how well they helped you learn in COSC 1560. [Programming assignments],Rate each of the following based on how well they helped you learn in COSC 1560. [In-class practices ],Rate each of the following based on how well they helped you learn in COSC 1560. [Attending classes],Rate each of the following based on how well they helped you learn in COSC 1560. [Meeting with the instructor outside of class ],Rate each of the following based on how well they helped you learn in COSC 1560. [Tutoring provided by REEG ARC peer tutors],Rate each of the following based on how well they helped you learn in COSC 1560. [Exams and preparing for exams],"Out of the learning activities listed above (or any other experience in class), what benefitted the most to your learning experience ? ","Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to write C++ programs using arrays, pointers, structured data and file operations.]",Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to design programming solutions for different problems using Department Style Guidelines.],"Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to understand relationship between arrays and pointers, do pointer arithmetic, and use pointers as parameters.]",Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able use character macros available in cctype and the cstring functions available in string.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to write code to read and write to text and binary files.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to work with abstract data types and structures.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to declare class with public and private members and functions.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to use class constructors and destructors. ],What changes or adjustments should be made to enhance the overall learning experience in this course ?,What is the most useful skill that you acquired or improved in this class ?,What grade do you expect to get in this class?,What is your major? (select all that apply) (optional)
2025/01/23 3:05:34 PM EST,1/23/2025,Yes,6,6,6,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560,Moderately Experienced,Moderately Experienced,Moderately Experienced,Partially Agree,Partially Agree,Partially Agree,Partially Agree,Partially Agree,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,programming assignments,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,in-class assignments ,,A (90 +),Computer Science
2025/05/01 3:12:25 PM EST,5/1/2025,Yes,7,7,7,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1560,Moderately Experienced,Moderately Experienced,Moderately Experienced,Partially Agree,Partially Agree,Partially Agree,Partially Agree,Partially Agree,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,perfectoo,,B (80 +),Computer Science
2025/05/02 9:50:48 AM EST,5/2/2025,Yes,6,5,4,Moderately Experienced,,,,,,,,,,Moderately Experienced,Extremely Experienced,Extremely Experienced,Very Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Very Experienced,Very Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,COSC 1550;COSC 1560,Moderately Experienced,Moderately Experienced,Moderately Experienced,Partially Agree,Agree,Agree,Partially Agree,Agree,Slightly helpful,Extremely helpful,Extremely helpful,Extremely helpful,Very helpful,Slightly helpful,Slightly helpful,Programming and understanding ,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Neutral,Somewhat Agree,None,Struct,B (80 +),Computer Science
2025/05/02 11:17:35 AM EST,5/2/2025,Yes,6,3,5,Slightly Experienced,No Experience At all,No Experience At all,No Experience At all,Very Little Experience,No Experience At all,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,COSC 1550;COSC 1560;Online tutorial or website (self-initiated);Previous college course,No Experience At All,No Experience At All,No Experience At All,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Partially Agree,Slightly helpful,Extremely helpful,Very helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Very helpful,Programming assignments (following related lectures),Agree,Strongly Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Make the lectures a little less repetitive ,Learning about classes and objects,A (90 +),Computer Science
2025/05/02 8:26:20 PM EST,5/2/2025,Yes,6,5,5,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,Slightly Experienced,No Experience At all,Slightly Experienced,No Experience At all,No Experience At all,,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Moderately Experienced,Very Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560;Online tutorial or website (self-initiated),No Experience At All,Very Little Expereience,No Experience At All,Strongly Agree,Neutral,Neutral,Agree,Disagree,Very helpful,Very helpful,Very helpful,Very helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Very helpful,,Agree,Somewhat Agree,Agree,Somewhat Agree,Agree,Neutral,Agree,Somewhat Agree,"More class engagement, real world practices, problem solving quizes followed by rewards for winners. ",Learned C++ basics and understand the core concepts of programming basics as a whole.,A (90 +),Computer Science with an Emphasis on Cybersecurity
2025/05/06 9:53:40 PM EST,5/6/2025,Yes,7,4,5,Moderately Experienced,Very Little Experience,No Experience At all,Very Little Experience,Very Little Experience,No Experience At all,Slightly Experienced,Slightly Experienced,No Experience At all,,,,,,,,,,,,,COSC 1550;COSC 1560;High School Computer Science course (other than AP);Online tutorial or website (self-initiated),Very Little Expereience,No Experience At All,Slightly Experienced,Strongly Agree,Partially Agree,Partially Agree,Agree,Neutral,Slightly helpful,Extremely helpful,Very helpful,Very helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Slightly helpful,Assignments ,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Harder assignments,Understanding classes and pointers,A (90 +),
2025/05/08 6:58:23 PM EST,5/8/2025,Yes,6,4,4,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,COSC 1550;COSC 1560,No Experience At All,No Experience At All,No Experience At All,Partially Agree,Partially Disagree,Neutral,Partially Agree,Neutral,Extremely helpful,Extremely helpful,Slightly helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Slightly helpful,N/A,Agree,Somewhat Agree,Somewhat Agree,Somewhat disagree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,"I think that it is fine, I just did not have any prior knowledge in this course subject.",The logic and thinking that goes into programming.,B (80 +),Mathematics and then Secondary Education with a Content Area of Math
2025/05/08 6:58:40 PM EST,5/8/2025,Yes,6,4,4,Moderately Experienced,No Experience At all,Slightly Experienced,No Experience At all,No Experience At all,No Experience At all,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,,Extremely Experienced,Extremely Experienced,Extremely Experienced,Extremely Experienced,Very Experienced,Very Experienced,Very Experienced,Extremely Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Courses at STLCC,No Experience At All,No Experience At All,No Experience At All,Partially Agree,Neutral,Neutral,Partially Disagree,Neutral,Slightly helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Extremely helpful,Great teachers,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"None, I think it’s an excellent course",Nearly every skill I have learned has been useful when building my knowledge and understanding new topics,A (90 +),Computer Science
2025/05/08 8:06:04 PM EST,5/8/2025,Yes,4,3,3,Slightly Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,COSC 1550;COSC 1560;University of Geneva ,Very Little Expereience,No Experience At All,No Experience At All,Partially Disagree,Disagree,Disagree,Partially Agree,Disagree,Very helpful,Very helpful,Very helpful,Very helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Slightly helpful,,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Somewhat Agree,Everything was fine.,"It was useful for better understanding the logic of how computers work. In previous classes, there were less explanations about why a code has to be written in a certain way.",C (70 +),Mathematics (pre engineering)
2025/12/05 3:27:21 PM EST,12/5/2025,Yes,6,5,4,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Dual credit course with another institution,Slightly Experienced,Slightly Experienced,Slightly Experienced,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Undecided (not sure if helpful or harmful),Very helpful,Very helpful,Very helpful,Very helpful,Undecided (not sure if helpful or harmful),Very helpful,Studying and help from friends and professors ,Agree,Agree,Agree,Agree,Somewhat Agree,Agree,Agree,Agree,Less emphasis on binary files,DSA and pointers,B (80 +),Computer Science
