Timestamp,Today's Date,"By clicking on the ""Yes"" button, I agree to take part in this project. I know what I will have to do and that I can stop at any time.","Computer experience (Internet Search, email, discord, discussion groups, games, word processing, spreadsheets, organizing files & folders, etc.)",Programming Experience (self-initialized learning and/or formal programming course,Programming Experiences compared to your classmates,Rate your programming experiences [C++],Rate your programming experiences [C],Rate your programming experiences [C#],Rate your programming experiences [Java],Rate your programming experiences [Javascript],Rate your programming experiences [PHP],Rate your programming experiences [Python],Rate your programming experiences [Scratch],Rate your programming experiences [Visual Basic],Rate your programming experiences [Other],"Rate your experience with using the following in your program [Data Types (int, floats, double, bool, char)]",Rate your experience with using the following in your program [Arithmetic Expressions & Operations],"Rate your experience with using the following in your program [Branching (if/else, switch, relational & logic operators, relational expressions)]","Rate your experience with using the following in your program [Loops (while, do-while, for)]",Rate your experience with using the following in your program [Functions ],Rate your experience with using the following in your program [Reference Variables in Functions],Rate your experience with using the following in your program [Arrays],Rate your experience with using the following in your program [Pointers],Rate your experience with using the following in your program [C++ Structures (struct)],Rate your experience with using the following in your program [Classes & Objects],Where did you get your programming experience? (select all that applies),Rate your experience with the following [Parallel processing (computing where the operations within a program that are being executed simultaneously) ],Rate your experience with the following [Distributed computing (computing with a program that runs on multiple computers or that runs using data from a different computer) ],Rate your experience with the following [Event handling (having a function that responds to an independent action) ],"To what extent do you agree or disagree with the following statements?  [In general, my interest in computing is high]",To what extent do you agree or disagree with the following statements?  [My interest in learning about parallel and distributed computing is high],"To what extent do you agree or disagree with the following statements?  [In general, I believe learning about parallel and distributed computing is important]",To what extent do you agree or disagree with the following statements?  [I believe I have a good understanding of computing],To what extent do you agree or disagree with the following statements?  [I believe I have a good understanding of parallel and distributed computing],What specific skills or abilities do you aspire to acquire or improve upon as a result of your learning in this class ?,What grade do you expect to get in this class,What is your major? (select all that apply) (optional)
2025/01/23 2:12:21 PM EST,1/23/2025,Yes,6,6,6,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1560 (Previous Semester),Moderately Experienced,Moderately Experienced,Moderately Experienced,Agree,Agree,Agree,Agree,Agree,"Working with structures, pointers, text files, and binary files. ",A (90 +),Computer Science
2025/02/07 4:19:01 PM EST,2/7/2025,Yes,4,6,6,Slightly Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,,Between Slightly and Moderately Experienced,Very Little Experience,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;Other Webster University COSC courses,Slightly Experienced,Slightly Experienced,Slightly Experienced,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Is to able to do COSC perfectly ,B (80 +),Computer Science with an Emphasis on Cybersecurity
2025/02/07 5:08:39 PM EST,2/7/2025,Yes,5,5,5,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,Very Experienced,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Moderately Experienced,Very Experienced,Very Experienced,Moderately Experienced,Moderately Experienced,Slightly Experienced,No Experience At All,Moderately Experienced,COSC 1550;AP Computer Science,No Experience At All,No Experience At All,Very Little Expereience,Agree,Partially Agree,Neutral,Partially Agree,Disagree,A deeper understanding of programming,A (90 +),Computer Science with an Emphasis on Cybersecurity
2025/02/07 6:27:31 PM EST,2/7/2025,Yes,5,4,3,Very Little Experience,Slightly Experienced,No Experience At all,No Experience At all,Between Slightly and Moderately Experienced,Slightly Experienced,Very Little Experience,No Experience At all,Very Little Experience,No Experience At all,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,Slightly Experienced,COSC 1550;High School Computer Science course (other than AP);Online tutorial or website (self-initiated),No Experience At All,Very Little Expereience,No Experience At All,Partially Agree,Partially Agree,Strongly Agree,Neutral,Partially Disagree,Morw knowledge on this topic and practical application in programs,B (80 +),Computer Science
2025/02/07 7:29:54 PM EST,2/7/2025,Yes,7,2,4,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,Very Little Experience,No Experience At all,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,Slightly Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Very Little Experience,No Experience At All,No Experience At All,COSC 1550;Online tutorial or website (self-initiated),No Experience At All,No Experience At All,No Experience At All,Strongly Agree,Agree,Partially Agree,Agree,Disagree,Increase my knowledge of general programming knowledge and skills,A (90 +),Computer Science
2025/02/07 10:18:06 PM EST,2/7/2025,Yes,7,5,5,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Very Little Experience,Very Little Experience,COSC 1550,No Experience At All,No Experience At All,No Experience At All,Strongly Agree,Agree,Partially Agree,Agree,Partially Agree,Learning multiple computer languages and doing multiple tasks,A (90 +),Computer Science
2025/02/08 8:22:39 PM EST,2/8/2025,Yes,7,4,4,Very Experienced,No Experience At all,No Experience At all,Very Little Experience,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Very Experienced,No Experience At All,No Experience At All,COSC 1550;High School Computer Science course (other than AP),No Experience At All,Slightly Experienced,No Experience At All,Agree,Strongly Agree,Agree,Partially Agree,Neutral,about different variant of the programming and first step to be a expert in coding.,A (90 +),Computer Science
2025/02/10 11:20:54 AM EST,2/10/2025,Yes,6,4,5,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,Very Little Experience,Slightly Experienced,No Experience At all,Between Slightly and Moderately Experienced,Slightly Experienced,No Experience At all,Very Little Experience,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Slightly Experienced,Slightly Experienced,Very Little Experience,COSC 1550;High School Computer Science course (other than AP);Online tutorial or website (self-initiated),Slightly Experienced,Very Little Expereience,Slightly Experienced,Strongly Agree,Agree,Agree,Partially Agree,Partially Agree,I expect to get better at utilizing pointers in my programs as a result of this course.,A (90 +),Computer Science
2025/02/11 2:57:00 PM EST,2/11/2025,Yes,7,3,5,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,Slightly Experienced,Very Little Experience,No Experience At all,Slightly Experienced,Very Little Experience,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,No Experience At All,No Experience At All,COSC 1550;High School Computer Science course (other than AP);Online tutorial or website (self-initiated),No Experience At All,No Experience At All,No Experience At All,Strongly Agree,Agree,Neutral,Partially Agree,Neutral,general knowledge of object based languages,A (90 +),Computer Science
2025/08/20 12:23:31 PM EST,8/20/2025,Yes,5,4,3,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,No Experience At all,Very Little Experience,Moderately Experienced,No Experience At all,,Moderately Experienced,Very Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Slightly Experienced,Very Experienced,Very Little Experience,No Experience At All,Moderately Experienced,High School Computer Science course (other than AP);Dual credit course with another institution;Online tutorial or website (self-initiated),No Experience At All,No Experience At All,No Experience At All,Strongly Agree,Strongly Agree,Strongly Agree,Partially Disagree,Strongly Disagree,"Better logic and critical thinking skills, more coding skills in general, skills to be able to build basic level programs on my own",A (90 +),Computer Science with an Emphasis on Machine Learning;Minor in Data Analytics 
2025/08/20 1:39:33 PM EST,8/20/2025,Yes,7,4,4,Moderately Experienced,Slightly Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Moderately Experienced,No Experience At all,Slightly Experienced,No Experience At all,Very Little Experience,Very Little Experience,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,No Experience At All,No Experience At All,Very Little Experience,COSC 1550;High School Computer Science course (other than AP);Online tutorial or website (self-initiated),No Experience At All,Very Little Expereience,Very Little Expereience,Strongly Agree,Neutral,Neutral,Agree,Disagree,Becoming more proficient at C++,B (80 +),Computer Science
